title,artist,Track Name,Artist Name(s)
As I Lay Me Down,Sophie B. Hawkins,As I Lay Me Down,Sophie B. Hawkins
Austin,Blake Shelton,Austin,Blake Shelton
Ayo Technology,50 Cent,Ayo Technology,"50 Cent, Justin Timberlake, Timbaland"
Baby,Ashanti,Baby,Ashanti
Baby I Need Your Lovin',Johnny Rivers,"Baby, I Need Your Lovin'",Johnny Rivers
Baby Scratch My Back,Slim Harpo,Baby Scratch My Back - Single Version,Slim Harpo
"Baby, I Love Your Way",Peter Frampton,"Baby, I Love Your Way",Peter Frampton
Back For Good,Take That,Back for Good - Radio Mix,Take That
Back To The Hotel,N2Deep,Back to the Hotel,N2DEEP
Backseat,New Boyz,Backseat (feat. The Cataracs & Dev),"New Boyz, The Cataracs, DEV"
Bad Blood,Neil Sedaka,Bad Blood,Neil Sedaka
Bad Boy,Miami Sound Machine,Bad Boy,Miami Sound Machine
Bad To Me,Billy J. Kramer and The Dakotas,Bad to Me - Live,Billy J. Kramer & The Dakotas
Ballerina Girl,Lionel Richie,Ballerina Girl,Lionel Richie
Barbara Ann,Beach Boys,Barbara Ann,The Beach Boys
Barefoot Blue Jean Night,Jake Owen,Barefoot Blue Jean Night,Jake Owen
Bartender,Lady Antebellum,Bartender,Lady A
Be Like That,3 Doors Down,Be Like That,3 Doors Down
Beach Baby,First Class,Beach Baby,First Class
Beachin',Jake Owen,Beachin',Jake Owen
Beautiful Life,Ace Of Base,Beautiful Life,Ace of Base
Because Of You,98 Degrees,Because of You (Acoustic),98º
Beep,Pussycat Dolls,Beep,"The Pussycat Dolls, will.i.am"
Believe Me,Lil Wayne,Believe Me,"Lil Wayne, Drake"
Bernadette,Four Tops,Bernadette - Single Version / Mono,Four Tops
Best Friend,Brandy,Best Friend,Brandy
Best Thing I Never Had,Beyonce,Best Thing I Never Had,Beyoncé
Better Off Alone,Alice Deejay,Better Off Alone,Alice Deejay
Better Than Me,Hinder,Better Than Me,Hinder
Big Love,Fleetwood Mac,Big Love - 2017 Remaster,Fleetwood Mac
Birthday,Katy Perry,Birthday,Katy Perry
Birthday Cake,Rihanna,Birthday Cake,Rihanna
Bitter Sweet Symphony,Verve,Bitter Sweet Symphony,The Verve
Blessings,Big Sean,Blessings,"Big Sean, Drake"
Body Party,Ciara,Body Party,Ciara
Bop Gun,Ice Cube,Bop Gun (One Nation) - Radio Edit,"Ice Cube, George Clinton"
Born In The USA,Bruce Springsteen,"Born In The U.S.A. - Live at LA Coliseum, Los Angeles, CA - September 1985",Bruce Springsteen
Bossa Nova Baby,Elvis Presley,Bossa Nova Baby,Elvis Presley
Bounce With Me,Lil Bow Wow,Bounce With Me (feat. Xscape) - Edited Album Version,"Bow Wow, Xscape"
Brave,Sara Bareilles,Brave,Sara Bareilles
Break It Down Again,Tears For Fears,Break It Down Again,Tears For Fears
Break It Off,Rihanna,Break It Off (feat. Rihanna),"Sean Paul, Rihanna"
Breakdown Dead Ahead,Boz Scaggs,Breakdown Dead Ahead,Boz Scaggs
Breakin' In A Brand New Broken Heart,Connie Francis,Breakin' In A Brand New Broken Heart,Connie Francis
Breaking Us In Two,Joe Jackson,Breaking Us In Two,Joe Jackson
Breaking the Habit,Linkin Park,Breaking the Habit,Linkin Park
Brilliant Disguise,Bruce Springsteen,Brilliant Disguise,Bruce Springsteen
Broadway,Goo Goo Dolls,Broadway,The Goo Goo Dolls
Broken Hearted Me,Anne Murray,Broken Hearted Me,Anne Murray
Brokenhearted,Brandy,Brokenhearted,Brandy
Budapest,George Ezra,Budapest,George Ezra
Bugatti,Ace Hood,Bugatti,"Ace Hood, Future, Rick Ross"
Bungle In The Jungle,Jethro Tull,Bungle in the Jungle,Jethro Tull
Burn It Down,Linkin Park,BURN IT DOWN,Linkin Park
Call Me,Aretha Franklin,Call Me,Aretha Franklin
Call On Me,Chicago,Call on Me,Chicago
Call me When You're Sober,Evanescence,Call Me When You're Sober,Evanescence
Can't Get Enough Of Your Love,Taylor Dayne,Can't Get Enough of Your Love,Taylor Dayne
Can't Get It Out Of My Head,Electric Light Orchestra,Can't Get It out of My Head,Electric Light Orchestra
Can't Help But Wait,Trey Songz,Can't Help but Wait,Trey Songz
Can't Stay Away From You,Gloria Estefan and Miami Sound Machine,Can't Stay Away from You,"Gloria Estefan, Miami Sound Machine"
Can't Stop Lovin' You,Van Halen,Can't Stop Lovin' You,Van Halen
Chandelier,Sia,Chandelier,Sia
Change Clothes,Jay-Z,Change Clothes - A Cappella (Explicit),JAY-Z
Chariot,Gavin DeGraw,Chariot,Gavin DeGraw
Check Yo Self,Ice Cube,Check Yo Self,Ice Cube
Cheers,Rihanna,Cheers (Drink To That),Rihanna
Chicken Fried,Zac Brown Band,Chicken Fried,Zac Brown Band
Chug-a-lug,Roger Miller,Chug-A-Lug,Roger Miller
Church Of The Poison Mind,Culture Club,Church Of The Poison Mind,Culture Club
Clocks,Coldplay,Clocks,Coldplay
Close My Eyes Forever,Lita Ford,Close My Eyes Forever,Lita Ford
Coco Jamboo,Mr. President,Coco Jamboo,Mr. President
Cold Sweat,James Brown,Cold Sweat,James Brown
Colder Weather,Zac Brown Band,Colder Weather,Zac Brown Band
Come And Get These Memories,Martha and The Vandellas,Come And Get These Memories - Single Version / Mono,Martha Reeves & The Vandellas
Come Over,Aaliyah,Come Over (feat. Tank),"Aaliyah, Tank"
Come Over,Kenny Chesney,Come Over,Kenny Chesney
Come Together,Beatles,Come Together - Remastered 2009,The Beatles
Contagious,Isley Brothers,Contagious,The Isley Brothers
Cool,Gwen Stefani,Cool,Gwen Stefani
Cotton Eye Joe,Rednex,Cotton Eye Joe,Rednex
Country Boy,Glen Campbell,Country Boy (You Got Your Feet In L.A.) - Remastered 2002,Glen Campbell
Cowboy Take Me Away,Dixie Chicks,Cowboy Take Me Away,The Chicks
Crash And Burn,Savage Garden,Crash and Burn,Savage Garden
Crazy Girl,Eli Young Band,Crazy Girl - Single Version,Eli Young Band
Crimson And Clover,Joan Jett and The Blackhearts,Crimson and Clover - Live 1981,Joan Jett & the Blackhearts
Dance The Night Away,Van Halen,Dance the Night Away - 2015 Remaster,Van Halen
Dancing In The Sheets,Shalamar,"Dancing In the Sheets - From ""Footloose"" Soundtrack",Shalamar
Dandy,Herman's Hermits,Dandy,Herman's Hermits
Dang Me,Roger Miller,Dang Me,Roger Miller
Dangerous,Busta Rhymes,Dangerous,Busta Rhymes
Daydream Believer,Monkees,Daydream Believer,The Monkees
Deacon Blues,Steely Dan,Nueva York (Tot*),Bad Gyal
Dead Giveaway,Shalamar,Dead Giveaway,Shalamar
Deja Vu,Dionne Warwick,Deja Vu,Dionne Warwick
Diamonds,Herb Alpert,Diamonds,"Herb Alpert, Janet Jackson"
Diamonds,Rihanna,Diamonds,Rihanna
Die Young,Ke$ha,Die Young - Deconstructed Mix,Kesha
Disappear,INXS,Disappear,INXS
Diva,Beyonce,Diva,Beyoncé
Do For Love,2Pac,Do For Love,2Pac
Do I Do,Stevie Wonder,Do I Do,Stevie Wonder
Do I Make you Proud,Taylor Hicks,Do I Make You Proud (Originally Performed by Taylor Hicks) - (Instrumental Version),Piano Project
Do What U Want,Lady Gaga,Do What U Want,"Lady Gaga, Christina Aguilera"
Do What You Do,Jermaine Jackson,Do What You Do,Jermaine Jackson
Do You Believe In Magic,Lovin' Spoonful,Do You Believe in Magic?,The Lovin' Spoonful
Do You Know The Way To San Jose,Dionne Warwick,Do You Know the Way to San Jose - 2013 Remaster,Dionne Warwick
Do You Love Me,Dave Clark Five,Do You Love Me - 2019 - Remaster,The Dave Clark Five
Do You Want Me,Salt-N-Pepa,Do You Want Me,Salt-N-Pepa
Doctor My Eyes,Jackson Browne,Doctor My Eyes,Jackson Browne
Doing It All For My Baby,Huey Lewis and The News,Doing It All For My Baby,Huey Lewis & The News
Don't,Ed Sheeran,Don't - Rick Ross Remix,"Ed Sheeran, Rick Ross"
Don't Be Cruel,Bobby Brown,Don't Be Cruel,Bobby Brown
Don't Bring Me Down,Electric Light Orchestra,Don't Bring Me Down,Electric Light Orchestra
Don't Cry For Me Argentina,Madonna,Don't Cry for Me Argentina,Madonna
Don't Get Me Wrong,Pretenders,Don't Get Me Wrong - 2007 Remaster,Pretenders
Don't Happen Twice,Kenny Chesney,Don't Happen Twice,Kenny Chesney
Don't Know Why,Norah Jones,Don't Know Why,Norah Jones
Don't Let The Sun Go Down On Me,Elton John,Don't Let The Sun Go Down On Me - Live From Moscow / 1979,Elton John
Don't Lie,Black Eyed Peas,Don't Lie,Black Eyed Peas
Don't Look Back,Boston,Don't Look Back,Boston
Don't Shed A Tear,Paul Carrack,Don't Shed a Tear,Paul Carrack
Don't Sleep In The Subway,Petula Clark,Don't Sleep in the Subway,Petula Clark
Don't Stop 'Til You Get Enough,Michael Jackson,Don't Stop 'Til You Get Enough,Michael Jackson
Don't Take The Girl,Tim McGraw,Don't Take The Girl,Tim McGraw
Don't Tell Me,Avril Lavigne,Don't Tell Me,Avril Lavigne
Don't Throw Your Love Away,Searchers,Don't Throw Your Love Away - Mono,The Searchers
Don't Wanna Go Home,Jason Derulo,Don't Wanna Go Home,Jason Derulo
Don't Worry Baby,B.J. Thomas,Don't Worry Baby,B.J. Thomas
Don't You Know What The Night Can Do,Steve Winwood,Don't You Know What The Night Can Do? - 2010 Remaster,Steve Winwood
Don't You Worry 'Bout A Thing,Stevie Wonder,Autumn Leaves Are Falling Down,The Kiboomers
Dont Let Me Be Misunderstood,Santa Esmeralda,Don't Let Me Be Misunderstood,Santa Esmeralda
Double Vision,Foreigner,Double Vision,Foreigner
Downtown,Lady Antebellum,Downtown,Lady Antebellum
Drank In My Cup,Kirko Bangz,Drank in My Cup,Kirko Bangz
Dreamin',Johnny Burnette,Dreamin',Johnny Burnette
Dreamtime,Daryl Hall,Dreamtime,Daryl Hall
Dress You Up,Madonna,Dress You Up,Madonna
Drive,Alan Jackson,Drive (For Daddy Gene),Alan Jackson
Drivin' My Life Away,Eddie Rabbitt,Drivin' My Life Away,Eddie Rabbitt
Drunk On A Plane,Dierks Bentley,Drunk On A Plane,Dierks Bentley
Dude,Beenie Man,Dude,"Beenie Man, Ms. Thing"
Dum Dum,Brenda Lee,Dum Dum,Brenda Lee
Edge Of Seventeen,Stevie Nicks,Edge of Seventeen,Stevie Nicks
Eenie Meenie,Sean Kingston,Eenie Meenie - Instrumental,Sean Kingston
Electric Blue,Icehouse,Electric Blue,ICEHOUSE
Empty Garden,Elton John,Empty Garden (Hey Hey Johnny) - Remastered 2003,Elton John
Even If It Breaks Your Heart,Eli Young Band,Even If It Breaks Your Heart,Eli Young Band
Every Little Thing She Does Is Magic,Police,Every Little Thing She Does Is Magic,The Police
Every Time I Think Of You,Babys,Every Time I Think of You,The Babys
Everybody Plays The Fool,Aaron Neville,Everybody Plays The Fool,Aaron Neville
Everyday,Phil Collins,Everyday,Phil Collins
Everytime,Britney Spears,Everytime,Britney Spears
Faithful,Go West,Faithful,Go West
Faithfully,Journey,Faithfully,Journey
Fall In Love With Me,"Earth, Wind and Fire",Fall In Love with Me - Alternate Take,"Earth\, Wind & Fire"
Family Affair,Sly and The Family Stone,Family Affair - Single Version,Sly & The Family Stone
Fanny,Bee Gees,Fanny (Be Tender With My Love),Bee Gees
Far Away,Nickelback,Far Away,Nickelback
Fast Car,Tracy Chapman,Fast Car,Tracy Chapman
Father,LL Cool J,Father,LL COOL J
Feel Good Inc,Gorillaz,Feel Good Inc.,Gorillaz
Feels Like Tonight,Daughtry,Feels Like Tonight,Daughtry
Feels So Right,Alabama,Feels So Right,Alabama
Fighter,Christina Aguilera,Fighter,Christina Aguilera
First Time,Lifehouse,First Time,Lifehouse
Flashing Lights,Kanye West,Flashing Lights,Kanye West
Flashlight,Parliament,Flashlight,Parliament
Flava In Ya Ear,Craig Mack,Flava in Ya Ear,Craig Mack
Fly Over States,Jason Aldean,Fly over States,Jason Aldean
Flying Without Wings,Ruben Studdard,Flying Without Wings,Ruben Studdard
Fool,Chris Rea,Fool (If You Think It's Over),Chris Rea
For Your Eyes Only,Sheena Easton,For Your Eyes Only,Sheena Easton
Forever,Kiss,Forever,KISS
Freddie's Dead,Curtis Mayfield,Freddie's Dead (Theme from 'Superfly'),Curtis Mayfield
Free Ride,Edgar Winter Group,Free Ride,The Edgar Winter Group
Free Your Mind,En Vogue,Free Your Mind,En Vogue
Freedom 90,George Michael,Freedom! '90 - Remastered,George Michael
Fresh,Kool and The Gang,Fresh,Kool & The Gang
From The Bottom Of My Broken Heart,Britney Spears,From the Bottom of My Broken Heart,Britney Spears
Full Moon,Brandy,Full Moon,Brandy
Funky Worm,Ohio Players,Funky Worm,Ohio Players
Funny Way Of Laughin',Burl Ives,Funny Way Of Laughing,Burl Ives
Games People Play,Joe South,Games People Play,Joe South
Georgia On My Mind,Ray Charles,Georgia on My Mind,Ray Charles
Get Back,Ludacris,Get Back,Ludacris
Get Down On It,Kool and The Gang,Get Down On It - Single Version,Kool & The Gang
Get Here,Oleta Adams,Get Here,Oleta Adams
Get Money,Junior M.A.F.I.A.,Get Money,Junior M.A.F.I.A.
Get Off,Foxy,Get Off,Foxy
Get Right,Jennifer Lopez,Get Right,Jennifer Lopez
Get Up,Ciara,Get Up (feat. Chamillionaire),"Ciara, Chamillionaire"
Get Your Shine On,Florida Georgia Line,Get Your Shine On,Florida Georgia Line
Getaway,"Earth, Wind and Fire",Getaway,"Earth\, Wind & Fire"
Ghetto Cowboy,Mo Thugs Family,Ghetto Cowboy,Mo Thugs Family
Ghost,Ella Henderson,Ghost,Ella Henderson
"Girl, You'll Be A Woman Soon",Neil Diamond,"Girl, You'll Be A Woman Soon",Neil Diamond
Give A Little Bit,Supertramp,Give A Little Bit,Supertramp
"Give It Up, Turn It Loose",En Vogue,"Give It Up, Turn It Loose",En Vogue
Give Me The Night,George Benson,Give Me the Night,George Benson
Go Away Little Girl,Steve Lawrence,Go Away Little Girl,"Steve Lawrence, Eydie Gormé"
Go Getta,Young Jeezy,Go Getta,"Jeezy, R. Kelly"
Go Home,Stevie Wonder,Go Home,Stevie Wonder
Go The Distance,Michael Bolton,Go the Distance,Michael Bolton
Go Your Own Way,Fleetwood Mac,Go Your Own Way,Fleetwood Mac
God Gave Me You,Blake Shelton,God Gave Me You,Blake Shelton
God Must Have Spent A Little More Time On You,Alabama,God Must Have Spent a Little More Time on You (feat. *NSYNC),"Alabama, *NSYNC"
Good,Better Than Ezra,Good,Better Than Ezra
Good Life,Kanye West,Good Life,"Kanye West, T-Pain"
Good Morning Beautiful,Steve Holy,Good Morning Beautiful,Steve Holy
Good Time Baby,Bobby Rydell,Good Time Baby,Bobby Rydell
Got Me Waiting,Heavy D and The Boyz,Got Me Waiting,Heavy D & The Boyz
Got To Get You Into My Life,Beatles,Got To Get You Into My Life - Remastered 2009,The Beatles
Green Light,John Legend,Green Light (feat. André 3000),"John Legend, André 3000"
"Green, Green Grass Of Home",Tom Jones,Green Green Grass Of Home,Tom Jones
Groove Is In The Heart,Deee-Lite,Groove Is in the Heart,Deee-Lite
Grown Men Don't Cry,Tim McGraw,Grown Men Don't Cry,Tim McGraw
Habits,Tove Lo,Habits (Stay High),Tove Lo
Hall Of Fame,Script,Hall of Fame (feat. will.i.am),"The Script, will.i.am"
Hands Clean,Alanis Morissette,Hands Clean,Alanis Morissette
Happy People,R. Kelly,Happy People,R. Kelly
Hard Knock Life,Jay-Z,Hard Knock Life,JAY-Z
Hard To Love,Lee Brice,Hard To Love,Lee Brice
Hate Me,Blue October,Hate Me,Blue October
Head Over Heels,Go-Go's,Head Over Heels,The Go-Go's
Heart Attack,Trey Songz,Heart Attack,Trey Songz
Heartbeat Song,Kelly Clarkson,Heartbeat Song,Kelly Clarkson
Heartbreaker,Pat Benatar,Te Guste,"Jennifer Lopez, Bad Bunny"
Heartbreaker,Dionne Warwick,Heartbreaker,Dionne Warwick
Heat Of The Night,Bryan Adams,Stockholm Love,DNT RYE
Heaven Sent,Keyshia Cole,Heaven Sent,Keyshia Cole
Helen Wheels,Paul McCartney,Helen Wheels,"Paul McCartney, Wings"
"Hello, It's Me",Todd Rundgren,Hello It's Me,Todd Rundgren
Her Diamonds,Rob Thomas,Her Diamonds,Rob Thomas
Here,Alessia Cara,Here,Alessia Cara
Here Comes My Baby,Tremeloes,Here Comes My Baby,The Tremeloes
Here Comes That Rainy Day Feeling Again,Fortunes,Here Comes That Rainy Day Feeling Again,The Fortunes
Here Comes The Hotstepper,Ini Kamoze,Here Comes the Hotstepper,Ini Kamoze
Here Comes The Sun,Richie Havens,Here Comes the Sun,Richie Havens
Here I Am,Air Supply,Here I Am (Just When I Thought I Was Over You),Air Supply
Here We Go Again,Ray Charles,Here We Go Again,"Ray Charles, Norah Jones"
Here is Gone,Goo Goo Dolls,Here Is Gone,The Goo Goo Dolls
Here's To The Night,Eve 6,Here's to the Night,Eve 6
Hey Daddy,Usher,Hey Daddy (Daddy's Home),Usher
Hey Jealousy,Gin Blossoms,Hey Jealousy,Gin Blossoms
Hey Mama,Black Eyed Peas,Hey Mama,Black Eyed Peas
Hit Me Off,New Edition,Hit Me Off,New Edition
"Hold Me, Thrill Me, Kiss Me, Kill Me",U2,"Hold Me, Thrill Me, Kiss Me, Kill Me - From 'Batman Forever'",U2
Holidae In,Chingy,Holidae In,"Chingy, Ludacris, Snoop Dogg"
Holidae In,Chingy,Holidae In,"Chingy, Ludacris, Snoop Dogg"
Holiday,Madonna,Holiday,Madonna
Hollywood Nights,Bob Seger,Hollywood Nights,Bob Seger
Hooked On A Feeling,B.J. Thomas,Hooked On A Feeling,B.J. Thomas
Hot In The City,Billy Idol,Hot In The City,Billy Idol
How Deep Is Your Love,Calvin Harris,Yeah Yeah Yeah - Radio Edit,Jax Jones
How Do You Like Me Now?!,Toby Keith,How Do You Like Me Now?!,Toby Keith
How Do You Sleep?,Jesse McCartney,How Do You Sleep? - Radio Edit Remix,"Jesse McCartney, Ludacris"
How Do You Talk To An Angel,Heights,How Do You Talk To An Angel?,The Heights
How Forever Feels,Kenny Chesney,How Forever Feels,Kenny Chesney
How Much I Feel,Ambrosia,How Much I Feel,Ambrosia
How Much Love,Leo Sayer,How Much Love,Leo Sayer
How Sweet It Is,Marvin Gaye,How Sweet It Is (To Be Loved By You),Marvin Gaye
How You Gonna See Me Now,Alice Cooper,How You Gonna See Me Now,Alice Cooper
Human Nature,Michael Jackson,Human Nature,Michael Jackson
Hung Up,Madonna,Hung Up,Madonna
Hurt So Bad,Linda Ronstadt,Hurt so Bad,Linda Ronstadt
Hypnotized,Plies,Hypnotized (feat. Akon),"Plies, Akon"
I Can't Make You Love Me,Bonnie Raitt,I Can't Make You Love Me,Bonnie Raitt
I Dig Rock And Roll Music,"Peter, Paul and Mary",I Dig Rock and Roll Music - 2004 Remaster,"Peter\, Paul and Mary"
I Do Not Hook Up,Kelly Clarkson,I Do Not Hook Up,Kelly Clarkson
I Do!!,Toya,I Do!!,Toya
I Don't Dance,Lee Brice,I Don't Dance,Lee Brice
I Don't Wanna,Aaliyah,I Don't Wanna,Aaliyah
I Don't Want This Night To End,Luke Bryan,I Don't Want This Night To End,Luke Bryan
I Don't Want To Live Without You,Foreigner,I Don't Want to Live Without You,Foreigner
I Fought The Law,Bobby Fuller Four,I Fought the Law - Single Version,The Bobby Fuller Four
I Found Someone,Cher,I Found Someone,Cher
I Go Back,Kenny Chesney,I Go Back,Kenny Chesney
I Go To Extremes,Billy Joel,I Go to Extremes,Billy Joel
I Had Too Much To Dream Last Night,Electric Prunes,I Had Too Much to Dream (Last Night),The Electric Prunes
I Hate Myself For Loving You,Joan Jett and The Blackhearts,I Hate Myself for Loving You,Joan Jett & the Blackhearts
I Hear You Knocking,Dave Edmunds,I Hear You Knocking,Dave Edmunds
I Heard It Through The Grapevine,Marvin Gaye,I Heard It Through The Grapevine,Marvin Gaye
I Honestly Love You,Olivia Newton-John,I Honestly Love You - Live,Olivia Newton-John
I Hope You Dance,Lee Ann Womack,I Hope You Dance,Lee Ann Womack
I Keep Forgettin',Michael McDonald,I Keep Forgettin' (Every Time You're Near),Michael McDonald
I Like It Like That,Dave Clark Five,I Like it Like That - 2019 - Remaster,The Dave Clark Five
I Live My Life For You,Firehouse,I Live My Life for You,Firehouse
I Made It,Kevin Rudolf,I Made It (Cash Money Heroes),"Kevin Rudolf, Birdman, Jay Sean, Lil Wayne"
I Made It Through The Rain,Barry Manilow,I Made It Through the Rain,Barry Manilow
I Never Cry,Alice Cooper,I Never Cry,Alice Cooper
I Remember,Keyshia Cole,I Remember,Keyshia Cole
I Run To You,Lady Antebellum,I Run To You,Lady A
I Saw Her Standing There,Beatles,I Saw Her Standing There - Remastered 2009,The Beatles
I Saw The Light,Todd Rundgren,I Saw the Light - 2015 Remaster,Todd Rundgren
I Say A Little Prayer,Aretha Franklin,I Say a Little Prayer,Aretha Franklin
I Shot The Sheriff,Eric Clapton,I Shot The Sheriff,Eric Clapton
I Shot The Sheriff,Warren G,I Shot The Sheriff,Warren G
I Still Can't Get Over Loving You,Ray Parker Jr.,I Still Can't Get Over Loving You,Ray Parker Jr.
I Think They Like Me,Dem Franchize Boyz,I Think They Like Me - Remix,"Dem Franchize Boyz, Jermaine Dupri, Da Brat, Bow Wow, The Kid Slim"
I Wanna Be Down,Brandy,"I Wanna Be Down (feat. Queen Latifah, Yo-Yo & MC Lyte) - Remix","Brandy, MC Lyte, Queen Latifah, Yo Yo"
I Wanna Get Next To You,Rose Royce,I Wanna Get Next To You,Rose Royce
I Wanna Love You,Jade,I Wanna Love You,Jade
I Want To Come Over,Melissa Etheridge,I Want To Come Over,Melissa Etheridge
I Want To Take You Higher,Ike and Tina Turner,I Want To Take You Higher,"Ike & Tina Turner, The Ikettes"
I Will Remember You,Amy Grant,I Will Remember You,Amy Grant
I Wish,R. Kelly,I Wish,R. Kelly
I'll Give All My Love To You,Keith Sweat,I'll Give All My Love to You,Keith Sweat
I'll Have To Say I Love You In A Song,Jim Croce,I'll Have To Say I Love You In A Song,Jim Croce
I'll Never Dance Again,Bobby Rydell,I'll Never Dance Again,Bobby Rydell
I'll Never Fall In Love Again,Dionne Warwick,I'll Never Fall in Love Again,Dionne Warwick
I'll Stand By You,Pretenders,I'll Stand by You - 2006 Remaster,Pretenders
I'll Tumble 4 Ya,Culture Club,Streaming Loudness Comparison: 20HZ-20KHZ Sweep (-12 LUFS Master),Bunker Analog
I'm Coming Out,Diana Ross,I'm Coming Out,Diana Ross
I'm Different,2 Chainz,I'm Different,2 Chainz
I'm Gonna Make You Love Me,Diana Ross,I'm Gonna Make You Love Me,"Diana Ross & The Supremes, The Temptations"
I'm On Fire,Bruce Springsteen,I'm On Fire,Bruce Springsteen
I'm So Excited,Pointer Sisters,I'm So Excited,The Pointer Sisters
I'm Sprung,T-Pain,I'm Sprung,T-Pain
I'm Sprung,T-Pain,I'm Sprung,T-Pain
I'm The Only One,Melissa Etheridge,I'm The Only One,Melissa Etheridge
I've Been In Love Before,Cutting Crew,I've Been In Love Before,Cutting Crew
I've Got A Rock 'N' Roll Heart,Eric Clapton,I've Got a Rock 'N' Roll Heart,Eric Clapton
If I Had A Hammer,"Peter, Paul and Mary",If I Had a Hammer - 2004 Remaster,"Peter\, Paul and Mary"
If I Were Your Woman,Gladys Knight and The Pips,If I Were Your Woman - Single Version,Gladys Knight & The Pips
If Not For You,Olivia Newton-John,If Not For You - Live,Olivia Newton-John
In America,Charlie Daniels Band,In America,The Charlie Daniels Band
In Love With A Girl,Gavin DeGraw,In Love With a Girl,Gavin DeGraw
In The Dark,Dev,In The Dark,DEV
Indian Outlaw,Tim McGraw,Indian Outlaw,Tim McGraw
Iris,Goo Goo Dolls,Iris,The Goo Goo Dolls
Is This Love,Survivor,Is This Love,Survivor
It Goes Like This,Thomas Rhett,It Goes Like This,Thomas Rhett
It Never Rains In Southern California,Albert Hammond,It Never Rains in Southern California,Albert Hammond
It Only Takes A Minute,Tavares,It Only Takes a Minute,Tavares
It Was A Good Day,Ice Cube,It Was A Good Day,Ice Cube
It's A Great Day To Be Alive,Travis Tritt,It’s A Great Day to Be Alive,Travis Tritt
